,seen_m1,seen_m2,seen_m3,seen_m4,seen_m5,seen_m6,rate_m1,rate_m2,rate_m3,rate_m4,rate_m5,rate_m6,rate_han,rate_luke,rate_leia,rate_anakin,rate_obiwan,rate_palpatine,rate_vader,rate_lando,rate_boba,rate_c3p0,rate_r2d2,rate_jarjar,rate_padme,rate_yoda,house_income,edu,seen_any_Yes,fan_sw_No,fan_sw_Yes,shot_first_Greedo,shot_first_Han,shot_first_idk,know_eu_No,know_eu_Yes,fan_eu_No,fan_eu_Yes,fan_st_No,fan_st_Yes,gender_Female,gender_Male,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,age_min
149,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,1.0,6.0,1,1,1,1,1,-1,-1,-1,-1,1,1,-2,-1,2,0.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,18.0
151,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,1.0,2,2,2,1,2,0,-1,0,-1,2,2,0,0,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,60.0
152,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,1,2,1,0,2,0,-1,-2,-1,1,0,-2,0,1,1.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,30.0
153,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,2.0,3.0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1.0,16.0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
154,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,1,1,1,1,1,0,1,0,0,2,2,2,0,2,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,30.0
156,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,6.0,0,1,2,2,1,0,-2,0,0,1,1,2,2,2,0.0,14.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18.0
158,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,30.0
159,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,0,-1,0,-2,1,-2,-2,-1,-1,-2,1,-2,-1,2,0.0,19.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,5.0,4.0,2,2,2,2,2,0,2,0,0,2,2,2,2,2,1.0,19.0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,60.0
164,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,4.0,1.0,2.0,2,2,2,2,2,0,1,0,0,1,2,0,0,2,0.0,16.0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
165,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,6.0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
166,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,5.0,3.0,1.0,2,1,2,0,1,0,1,-1,-1,0,1,-2,0,2,0.0,16.0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,18.0
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1,2,2,2,2,0,2,0,0,2,2,0,0,2,1.0,14.0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,30.0
168,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,6.0,2,2,2,1,1,0,1,0,0,2,2,0,0,2,0.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,45.0
169,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,0,0,0,-1,1,0,0,0,0,-1,1,-2,1,1,1.0,19.0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,45.0
170,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,-1,2,2,2,2,2,2,2,-2,0,2,1.0,14.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,30.0
172,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,2.0,3.0,2,2,2,2,2,-2,1,2,-2,2,2,-1,-2,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18.0
173,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,2,2,2,-2,1,-2,-2,1,-1,2,2,-1,0,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,30.0
174,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,2.0,3.0,2,2,2,2,2,1,2,1,2,2,2,2,1,2,0.0,14.0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,18.0
175,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,2.0,3.0,2,2,2,-1,2,-2,-2,1,0,2,2,1,2,2,1.0,19.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,45.0
176,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,2,1,1,0,1,1,1,0,0,1,1,-2,1,1,0.0,12.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
179,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,45.0
181,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,1,1,2,2,1,2,1,2,-2,-2,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,30.0
183,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,-2,-2,1,1,2,2,-2,2,2,1.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,45.0
185,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,1,1,-2,1,2,1,1,0,1,0,-2,-2,2,0.0,14.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,30.0
186,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,0,0,-2,-2,0,-1,2,2,-2,0,2,0.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,60.0
187,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,5.0,3.0,2,2,1,2,2,-1,2,0,-1,1,2,0,2,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,18.0
188,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,5.0,1.0,2.0,0,2,2,2,2,-2,-2,0,0,2,2,0,0,2,1.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,60.0
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,6.0,2,2,2,2,2,-1,-1,0,-1,1,1,1,2,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,30.0
194,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,5.0,2.0,1.0,2,1,2,2,2,1,-1,2,-2,2,2,0,0,2,1.0,19.0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,60.0
196,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,2.0,3.0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1.0,16.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
198,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,6.0,1.0,2,2,2,1,2,0,2,0,0,0,0,1,0,2,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
200,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,1,2,2,0,2,0,1,0,0,2,2,0,0,2,0.0,16.0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,45.0
202,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,1,2,1,2,1,2,2,2,0,1,-1,2,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
203,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,1.0,2.0,4.0,2,2,2,1,2,2,2,1,2,2,2,-2,-2,1,0.0,12.0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,18.0
204,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,1,1,1,1,1,0,1,0,0,2,2,1,0,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,18.0
206,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,3.0,1.0,5.0,2,2,2,2,2,0,0,2,2,2,2,-1,1,2,0.0,19.0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,30.0
211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1,1,1,1,2,0,2,0,0,1,1,0,0,2,1.0,12.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,60.0
215,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,2,2,2,2,2,2,2,2,2,2,2,-2,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,30.0
217,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,6.0,0,1,1,0,2,0,2,1,0,2,2,1,0,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,30.0
220,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,3.0,4.0,2,1,1,2,2,-2,-2,1,1,-1,2,-1,1,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,18.0
223,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,0,2,0,1,0,0,2,2,0,0,2,0.0,19.0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,60.0
224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,2,2,2,2,2,0,-2,0,-1,2,2,2,2,2,0.0,14.0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,45.0
225,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,3.0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,12.0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,18.0
227,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,6.0,2,2,2,2,2,1,2,1,2,2,2,-2,2,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,30.0
231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,2.0,4.0,2,2,2,0,2,1,2,1,1,2,2,-2,-1,1,1.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
232,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,1,1,0,0,0,0,1,1,0,0,0,1.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,30.0
235,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,1,1,2,0,2,0,0,1,1,1,1,2,1.0,12.0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,60.0
236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,60.0
239,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,2,2,2,-1,1,1,-1,0,0,1,1,-2,0,0,1.0,19.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
244,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,2,2,2,0,1,0,0,0,0,2,2,0,0,1,1.0,14.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,45.0
247,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,1.0,1,1,1,1,1,0,-2,0,0,1,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,45.0
248,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,-1,1,0,-1,0,-1,2,2,1,0,1,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,45.0
249,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,2.0,3.0,2,2,2,1,2,-1,2,0,0,2,2,0,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,45.0
250,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,1,1,0,2,0,0,-1,0,1,1,-2,0,1,0.0,19.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,45.0
253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1,2,2,0,2,-2,-2,2,-1,2,2,2,1,2,1.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,18.0
256,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,1.0,4.0,2.0,2,2,1,-2,2,0,0,0,0,2,2,0,0,2,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,45.0
259,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,-1,-1,0,-1,1,1,-1,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,60.0
260,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,1,2,2,1,2,0,0,0,0,2,2,-2,1,2,0.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,45.0
261,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,0,2,0,1,-1,0,2,2,1,0,2,1.0,16.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
263,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,4.0,1.0,5.0,1,0,1,-1,2,2,2,1,2,0,0,-2,-1,1,1.0,16.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,30.0
264,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,3.0,2,2,2,2,2,-2,-1,1,-2,2,2,-1,1,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45.0
266,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,4.0,1.0,3.0,2,1,1,2,2,-2,-1,2,-1,2,2,-2,2,2,1.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,18.0
269,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,4.0,1.0,2.0,2,2,2,2,0,0,2,0,1,2,2,1,2,2,0.0,19.0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,45.0
273,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,6.0,2,1,2,0,2,0,1,0,1,2,2,0,1,2,1.0,19.0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,45.0
275,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,2,1,1,-1,1,2,2,1,2,2,2,-2,-1,2,0.0,12.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
276,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,2,0,0,0,-1,0,-1,1,1,0,0,0,0.0,14.0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,45.0
279,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,1,1,2,0,-1,0,-1,0,0,-2,0,2,1.0,16.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,45.0
280,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,1,2,0,0,1,1,1,1,1,0,2,1.0,14.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,60.0
282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,3.0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
283,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,1,1,-2,2,0,2,1,0,2,2,-2,0,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
284,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,2,2,2,-1,2,-2,0,1,-2,1,1,1,1,2,0.0,12.0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
285,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,-1,2,-1,-2,2,0,2,2,2,1,2,0.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,60.0
287,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,1,1,0,-2,0,0,2,2,0,0,2,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,30.0
289,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,-1,1,1,1,2,1,2,1,1,1,2,2,1,2,1.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,18.0
291,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,3.0,2,2,2,0,2,-1,0,-1,0,1,1,-1,-1,0,1.0,16.0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
294,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,1,1,0,1,0,-1,0,0,2,2,-2,0,1,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,45.0
295,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,1.0,2.0,1,2,0,-1,0,0,2,0,0,1,2,0,0,1,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,30.0
297,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,2,2,-1,2,0,-2,0,0,2,2,0,0,2,1.0,19.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,45.0
298,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,2,2,-2,2,0,1,-1,-1,1,1,0,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,30.0
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,18.0
302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,2,2,2,-1,0,0,2,2,2,2,2,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45.0
305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,14.0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
307,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,5.0,2.0,2,2,2,2,2,1,2,1,1,2,2,0,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
309,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,1,1,1,0,2,2,1,2,1,1,1,0,1,1,0.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,18.0
311,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,6.0,5.0,4.0,2,1,1,2,2,-2,1,0,1,1,1,0,2,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
313,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,4.0,2.0,2,2,1,1,1,-1,1,0,-1,2,1,0,0,1,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,3.0,1,1,1,1,2,0,1,1,0,1,2,1,0,1,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,60.0
316,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,2,2,2,2,2,1,2,0,0,2,2,0,0,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,45.0
317,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1,2,2,2,0,0,2,0,0,0,2,2,2,2,1.0,14.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30.0
318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,6.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,60.0
320,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,3.0,2,2,2,1,2,1,2,2,2,1,1,-2,0,1,1.0,16.0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
323,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,6.0,2.0,1.0,1,1,-2,2,0,0,2,0,-1,-1,0,0,0,0,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
325,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,0,2,2,0,0,0,-1,0,0,2,2,0,0,0,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,45.0
328,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,6.0,1.0,2.0,2,2,0,0,2,0,2,2,0,2,2,0,0,2,0.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,60.0
330,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18.0
331,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,0,2,0,0,2,2,-2,0,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,45.0
332,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,16.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,60.0
333,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,6.0,2.0,1.0,2,-1,0,-2,1,0,1,-1,-2,0,0,-2,0,1,0.0,14.0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,45.0
